Varenummer;Navn;KostIDkk;BeregnetSalgsPrisIDkk
11129010250;HOFKON 290-1 Truss 250mm;466,06 DKK;466,06 DKK
1112901025095;HOFKON 290-1 Truss 250mm sort;465,02 DKK;465,02 DKK
11129010500;HOFKON 290-1 Truss 500mm;434,99 DKK;434,99 DKK
1112901050095;HOFKON 290-1 Truss 500mm sort;554,05 DKK;554,05 DKK
11129011000;HOFKON 290-1 Truss 1000mm;505,28 DKK;505,28 DKK
1112901100095;HOFKON 290-1 Truss 1000mm sort;632,91 DKK;632,91 DKK
11129011500;HOFKON 290-1 Truss 1500mm;563,98 DKK;563,98 DKK
11129012000;HOFKON 290-1 Truss 2000mm;628,00 DKK;628,00 DKK
1112901200095;HOFKON 290-1 Truss 2000mm sort;934,42 DKK;934,42 DKK
11129012500;HOFKON 290-1 Truss 2500mm;697,14 DKK;697,14 DKK
1112901250095;HOFKON 290-1 Truss 2500mm sort;861,63 DKK;861,63 DKK
11129013000;HOFKON 290-1 Truss 3000mm;757,19 DKK;757,19 DKK
1112901300095;HOFKON 290-1 Truss 3000mm sort;1351,30 DKK;1351,30 DKK
11129013500;HOFKON 290-1 Truss 3500mm;879,53 DKK;879,53 DKK
1112901350095;HOFKON 290-1 Truss 3500mm sort;1126,27 DKK;1126,27 DKK
11129014000;HOFKON 290-1 Truss 4000mm;911,20 DKK;911,20 DKK
1112901400095;HOFKON 290-1 Truss 4000mm sort;1193,19 DKK;1193,19 DKK
11129014500;HOFKON 290-1 Truss 4500mm;1009,90 DKK;1009,90 DKK
1112901450095;HOFKON 290-1 Truss 4500mm sort;1327,13 DKK;1327,13 DKK
11129015000;HOFKON 290-1 Truss 5000mm;1114,19 DKK;1114,19 DKK
1112901500095;HOFKON 290-1 Truss 5000mm sort;1466,79 DKK;1466,79 DKK
11129015555;HOFKon U-Frame hanging Ladder standard w: 600mm/h:;1607,22 DKK;1607,22 DKK
1112901555595;HOFKon U-Frame hanging Ladder standard Sort Line;1534,48 DKK;1534,48 DKK
11129015556;HOFKon U-Frame Top for  Hanging Ladder w:600mm;1288,06 DKK;1288,06 DKK
1112901555695;HOFKon U-Frame Top for  Hanging Ladder Sort Line;1447,54 DKK;1447,54 DKK
11129015557;HOFKon U-Frame hanging Ladder long w: 600mm/h: 800;1481,79 DKK;1481,79 DKK
11129015558;HOFKon U-Frame hanging Ladder long w: 1100mm/h: 12;2596,30 DKK;2596,30 DKK
11129015559;HOFKon U-Frame Top for  Hanging Ladder w:1100mm;1629,71 DKK;1629,71 DKK
1112901DROP;HOFKON Droparm T-Bar Hangingbar;508,14 DKK;508,14 DKK
11129020250;HOFKON 290-2 Truss  250mm;963,24 DKK;963,24 DKK
1112902025095;HOFKON 290-2 Truss  250mm sort;924,85 DKK;924,85 DKK
11129020500;HOFKON 290-2 Truss  500mm;940,51 DKK;940,51 DKK
1112902050095;HOFKON 290-2 Truss  500mm sort;1029,14 DKK;1029,14 DKK
11129021000;HOFKON 290-2 Truss  1000mm;1260,55 DKK;1260,55 DKK
1112902100095;HOFKON 290-2 Truss  1000mm blaCk;1364,73 DKK;1364,73 DKK
11129021500;HOFKON 290-2 Truss  1500mm;1381,22 DKK;1381,22 DKK
1112902150095;HOFKON 290-2 Truss  1500mm sort;1713,30 DKK;1713,30 DKK
11129022000;HOFKON 290-2 Truss  2000mm;1662,05 DKK;1662,05 DKK
1112902200095;HOFKON 290-2 Truss  2000mm sort;2055,94 DKK;2055,94 DKK
11129022500;HOFKON 290-2 Truss  2500mm;1622,28 DKK;1622,28 DKK
1112902250095;HOFKON 290-2 Truss  2500mm sort;2412,12 DKK;2412,12 DKK
11129023000;HOFKON 290-2 Truss  3000mm;2084,14 DKK;2084,14 DKK
1112902300095;HOFKON 290-2 Truss  3000mm sort;2769,97 DKK;2769,97 DKK
11129023500;HOFKON 290-2 Truss  3500mm;2296,52 DKK;2296,52 DKK
1112902350095;HOFKON 290-2 Truss  3500mm sort;3148,53 DKK;3148,53 DKK
11129024000;HOFKON 290-2 Truss  4000mm;2519,76 DKK;2519,76 DKK
1112902400095;HOFKON 290-2 Truss  4000mm sort;3484,12 DKK;3484,12 DKK
11129024500;HOFKON 290-2 Truss  4500mm;2717,27 DKK;2717,27 DKK
1112902450095;HOFKON 290-2 Truss  4500mm sort;3330,00 DKK;3330,00 DKK
