Item;ArticleDescription;Unit;KostprisEUR;PriceUnit;PriceGroup;DateOfIssuance
11129010250;HOFKON 290-1 Truss 250mm;Stk;41,65 €;1;22;06-02-2023
1112901025095;HOFKON 290-1 Truss 250mm black;Stk;47,95 €;1;21;06-02-2023
11129010500;HOFKON 290-1 Truss 500mm;Stk;41,65 €;1;23;06-02-2023
1112901050095;HOFKON 290-1 Truss 500mm black;Stk;57,13 €;1;21;06-02-2023
11129011000;HOFKON 290-1 Truss 1000mm;Stk;48,38 €;1;23;06-02-2023
1112901100095;HOFKON 290-1 Truss 1000mm black;Stk;60,60 €;1;24;06-02-2023
11129011500;HOFKON 290-1 Truss 1500mm;Stk;54,00 €;1;24;06-02-2023
11129012000;HOFKON 290-1 Truss 2000mm;Stk;60,13 €;1;24;06-02-2023
1112901200095;HOFKON 290-1 Truss 2000mm black;Stk;89,47 €;1;24;06-02-2023
11129012500;HOFKON 290-1 Truss 2500mm;Stk;66,75 €;1;24;06-02-2023
1112901250095;HOFKON 290-1 Truss 2500mm black;Stk;82,50 €;1;24;06-02-2023
11129013000;HOFKON 290-1 Truss 3000mm;Stk;72,50 €;1;24;06-02-2023
1112901300095;HOFKON 290-1 Truss 3000mm black;Stk;120,76 €;1;25;06-02-2023
11129013500;HOFKON 290-1 Truss 3500mm;Stk;78,60 €;1;25;06-02-2023
1112901350095;HOFKON 290-1 Truss 3500mm black;Stk;100,65 €;1;25;06-02-2023
11129014000;HOFKON 290-1 Truss 4000mm;Stk;81,43 €;1;25;06-02-2023
1112901400095;HOFKON 290-1 Truss 4000mm black;Stk;106,63 €;1;25;06-02-2023
11129014500;HOFKON 290-1 Truss 4500mm;Stk;90,25 €;1;25;06-02-2023
1112901450095;HOFKON 290-1 Truss 4500mm black;Stk;118,60 €;1;25;06-02-2023
11129015000;HOFKON 290-1 Truss 5000mm;Stk;99,57 €;1;25;06-02-2023
1112901500095;HOFKON 290-1 Truss 5000mm black;Stk;131,08 €;1;25;06-02-2023
11129015555;HOFKon U-Frame hanging Ladder standard w: 600mm/h:;Stk;143,63 €;1;22;06-02-2023
1112901555595;HOFKon U-Frame hanging Ladder standard Black Line;Stk;137,13 €;1;22;06-02-2023
11129015556;HOFKon U-Frame Top for  Hanging Ladder w:600mm;Stk;123,33 €;1;23;06-02-2023
1112901555695;HOFKon U-Frame Top for  Hanging Ladder Black Line;Stk;138,60 €;1;23;06-02-2023
11129015557;HOFKon U-Frame hanging Ladder long w: 600mm/h: 800;Stk;141,88 €;1;23;06-02-2023
11129015558;HOFKon U-Frame hanging Ladder long w: 1100mm/h: 12;Stk;232,02 €;1;22;06-02-2023
11129015559;HOFKon U-Frame Top for  Hanging Ladder w:1100mm;Stk;145,64 €;1;22;06-02-2023

