article description;Item;unit;price group;price unit;kostpris EUR
HOFKON Droparm T-Bar Hangingbar;1112901DROP;Stk;22;1;45,41 €
HOFKON 290-2 Truss  250mm;11129020250;Stk;22;1;86,08 €
HOFKON 290-2 Truss  250mm black;1112902025095;Stk;22;1;82,65 €
HOFKON 290-2 Truss  500mm;11129020500;Stk;21;1;96,98 €
HOFKON 290-2 Truss  500mm black;1112902050095;Stk;22;1;91,97 €
HOFKON 290-2 Truss  1000mm;11129021000;Stk;22;1;112,65 €
HOFKON 290-2 Truss  1000mm blaCk;1112902100095;Stk;22;1;121,96 €
HOFKON 290-2 Truss  1500mm;11129021500;Stk;24;1;132,25 €
HOFKON 290-2 Truss  1500mm black;1112902150095;Stk;22;1;153,11 €
HOFKON 290-2 Truss  2000mm;11129022000;Stk;22;1;148,53 €
HOFKON 290-2 Truss  2000mm black;1112902200095;Stk;22;1;183,73 €
HOFKON 290-2 Truss  2500mm;11129022500;Stk;21;1;167,28 €
HOFKON 290-2 Truss  2500mm black;1112902250095;Stk;22;1;215,56 €
HOFKON 290-2 Truss  3000mm;11129023000;Stk;22;1;186,25 €
HOFKON 290-2 Truss  3000mm black;1112902300095;Stk;22;1;247,54 €
HOFKON 290-2 Truss  3500mm;11129023500;Stk;22;1;205,23 €
HOFKON 290-2 Truss  3500mm black;1112902350095;Stk;22;1;281,37 €
HOFKON 290-2 Truss  4000mm;11129024000;Stk;22;1;225,18 €
HOFKON 290-2 Truss  4000mm black;1112902400095;Stk;22;1;311,36 €
HOFKON 290-2 Truss  4500mm;11129024500;Stk;22;1;242,83 €
HOFKON 290-2 Truss  4500mm black;1112902450095;Stk;20;1;343,37 €
